id,title,status,action,effectiveDate,linkedCanyons,textUrl,attachmentCount,sourceConfidence
1,Convention - 08 juil 2002,Actif,Réglemente,08 juil 2002,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/1/legislation.html,0,needs_manual_search
2,Arrêté municipal (St Andéol),Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/2/legislation.html,0,needs_manual_search
4,Arrêté préfectoral (Isère),Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/4/legislation.html,0,needs_manual_search
5,Arrêté municipal (Malleval) - 22 juil 1992,Actif,Interdit,22 juil 1992,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/5/legislation.html,1,mirror_attachment_present
7,Arrêté préfectoral (Ain) - 11 avr 2002,Actif,Réglemente,11 avr 2002,3,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/7/legislation.html,0,needs_manual_search
8,Arrêté municipal,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/8/legislation.html,0,needs_manual_search
11,Arrêté préfectoral (Ain) - 14 sept 1999,Actif,Réglemente,14 sept 1999,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/11/legislation.html,0,needs_manual_search
12,Arrêté municipal (Servoz),Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/12/legislation.html,0,needs_manual_search
13,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/13/legislation.html,0,needs_manual_search
31,Arrêté municipal (Siguer) - 21 sept 2001,Actif,Réglemente,21 sept 2001,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/31/legislation.html,0,needs_manual_search
42,Arrêté préfectoral (Alpes de Haute Provence) - 03 juil 1996,Actif,Réglemente,03 juil 1996,150,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/42/legislation.html,1,mirror_attachment_present
44,"Arrêté préfectoral (Savoie, Isère) - 07 oct 1999",Actif,Réglemente,07 oct 1999,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/44/legislation.html,0,needs_manual_search
48,Arrêté préfectoral (Gard) - 11 avr 2003,Actif,Réglemente,11 avr 2003,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/48/legislation.html,2,mirror_attachment_present
49,Convention - 03 août 2001,Actif,Réglemente,03 août 2001,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/49/legislation.html,1,mirror_attachment_present
51,Arrêté (Réserve du Pas de l'Escalette),Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/51/legislation.html,0,needs_manual_search
52,Arrêté municipal (Colombières sur Orb) - 25 juil 1995,Actif,Interdit,25 juil 1995,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/52/legislation.html,1,mirror_attachment_present
54,Arrêté municipal (Nyer),Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/54/legislation.html,0,needs_manual_search
55,Arrêté municipal (La Léchère - Pussy) - 23 oct 2002,Actif,Réglemente,23 oct 2002,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/55/legislation.html,0,needs_manual_search
56,Arrêté municipal (St Egrève) - 03 juil 2003,Actif,Réglemente,03 juil 2003,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/56/legislation.html,0,needs_manual_search
64,Arrêté préfectoral (Hautes-Alpes) - 29 nov 2005,Actif,Interdit,29 nov 2005,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/64/legislation.html,1,mirror_attachment_present
66,Arrêté municipal (Bonneval sur Arc) - 19 juin 1999,Actif,Réglemente,19 juin 1999,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/66/legislation.html,0,needs_manual_search
67,Arrêté municipal (Chisa) - 02 déc 2000,Actif,Interdit,02 déc 2000,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/67/legislation.html,0,needs_manual_search
68,Information - avr 2003,Actif,Interdit,avr 2003,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/68/legislation.html,0,needs_manual_search
69,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/69/legislation.html,0,needs_manual_search
70,Arrêté municipal - 15 juil 1998,Actif,Réglemente,15 juil 1998,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/70/legislation.html,0,needs_manual_search
71,Arrêté municipal (St Vincent sur Jabron) - 19 juil 1996,Actif,Interdit,19 juil 1996,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/71/legislation.html,1,mirror_attachment_present
81,Information - 17 fév 2005,Actif,Réglemente,17 fév 2005,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/81/legislation.html,0,needs_manual_search
83,Arrêté,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/83/legislation.html,0,needs_manual_search
84,Arrêté (Parc d'El Port),Actif,Réglemente,,4,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/84/legislation.html,0,needs_manual_search
