id,title,linkedCanyons,effectiveDate,reviewReasons,textUrl
89,Arrêté (Parc de la Sierra de Guara) - 14 juil 1997,42,14 juil 1997,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/89/legislation.html
84,Arrêté (Parc d'El Port),4,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/84/legislation.html
518,Arrêté préfectoral (Ain) - 11 avr 2002,3,11 avr 2002,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/518/legislation.html
204,Arrêté,3,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/204/legislation.html
7,Arrêté préfectoral (Ain) - 11 avr 2002,3,11 avr 2002,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/7/legislation.html
452,Arrêté préfectoral (Doubs) - 14 jan 2010,2,14 jan 2010,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/452/legislation.html
432,Arrêté - 20 fév 2003,2,20 fév 2003,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/432/legislation.html
196,Arrêté municipal (Casteil) - 10 juil 2009,2,10 juil 2009,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/196/legislation.html
105,Arrêté préfectoral (Isère) - 16 déc 1996,2,16 déc 1996,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/105/legislation.html
67,Arrêté municipal (Chisa) - 02 déc 2000,2,02 déc 2000,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/67/legislation.html
31,Arrêté municipal (Siguer) - 21 sept 2001,2,21 sept 2001,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/31/legislation.html
1,Convention - 08 juil 2002,2,08 juil 2002,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/1/legislation.html
537,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/537/legislation.html
534,Arrêté préfectoral (Alpes-de-Haute-Provence) - 29 déc 1997,1,29 déc 1997,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/534/legislation.html
525,Arrêté municipal (Kobarid),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/525/legislation.html
507,Arrêté municipal (Ilonse) - 17 mai 2010,1,17 mai 2010,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/507/legislation.html
487,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/487/legislation.html
468,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/468/legislation.html
464,Convention,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/464/legislation.html
387,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/387/legislation.html
332,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/332/legislation.html
316,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/316/legislation.html
299,Arrêté municipal (Caprie),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/299/legislation.html
289,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/289/legislation.html
284,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/284/legislation.html
283,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/283/legislation.html
282,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/282/legislation.html
238,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/238/legislation.html
236,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/236/legislation.html
233,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/233/legislation.html
231,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/231/legislation.html
227,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/227/legislation.html
226,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/226/legislation.html
223,Arrêté municipal - 28 mai 2008,1,28 mai 2008,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/223/legislation.html
221,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/221/legislation.html
217,Arrêté - 12 juil 1954,1,12 juil 1954,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/217/legislation.html
212,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/212/legislation.html
208,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/208/legislation.html
203,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/203/legislation.html
202,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/202/legislation.html
201,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/201/legislation.html
200,Arrêté municipal (Cevins) - 1998,1,1998,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/200/legislation.html
197,Arrêté municipal (Péreyres) - 09 août 2009,1,09 août 2009,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/197/legislation.html
195,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/195/legislation.html
193,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/193/legislation.html
181,Arrêté municipal (Auzat) - 29 juin 2009,1,29 juin 2009,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/181/legislation.html
170,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/170/legislation.html
159,Information - 29 avr 2008,1,29 avr 2008,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/159/legislation.html
158,Arrêté municipal (Gréolières),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/158/legislation.html
144,Convention,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/144/legislation.html
139,Arrêté - 18 déc 1984,1,18 déc 1984,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/139/legislation.html
136,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/136/legislation.html
135,Information - 28 fév 2001,1,28 fév 2001,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/135/legislation.html
