# French canyons reported without watershed output.
# Format: canyonId | canyonName
231 | Galamus
257 | Siagne de la Pare
268 | Bassiès
286 | Four
294 | Favière
2114 | Chailles
2193 | Abîme
2295 | Arifat
2296 | Dourdou
2297 | Banquet
2299 | Gour de l'Oule
2445 | Cubserviès
2461 | Haut Jabron
2471 | Bout du monde
2483 | Loue
2520 | Seebach
2544 | Ciuffatu
2628 | Cézas
2945 | Jabron de Sisteron
2967 | Kakouetta
2995 | Larrandaburu
21105 | Archettes
21110 | Caïnée
21134 | Lauvette
21239 | Coumbies
21523 | Tufière
21546 | Bourceau
21792 | Bois-Malaisé
21793 | Dufour
21794 | Acomat
21846 | Donaréo
21967 | Grande Anse
22295 | Putoa
22296 | Manguier
22297 | Dinosaure
22298 | Mamao
22329 | Chaude
22458 | Saint Jean
22469 | Artuby de Malamaire
22567 | Grand Vallon
23141 | Cros
23164 | Gournier
23335 | Aigache
